ID,usecase,category,prompt,sources,Mock CSV
RCP-1,Cross-Channel Marketing ROI Analysis,Marketing,"Which marketing channels are 
giving us the best return on 
investment? Show me impression, click, overall performance and cost per acquisition across all our advertising platforms and create a dashboard.","facebook-ads, google-ads, google-analytics, linkedin-ads, tiktok-ads",Recipes%20Database%20241d568624128093b1bde0718b9200d9/marketing_mock_data.csv
RCP-2,Sales Performance Dashboard,Sales,"How is our sales team performing this quarter? Show me individual performance, pipeline, and deal conversion rates. Create a sales dashboard.",database,Recipes%20Database%20241d568624128093b1bde0718b9200d9/sales_performance_dashboard_q3_2025.csv
RCP-3,E-commerce Performance Analysis,Retail & E-Commerce,"How is our online store performing? Show me conversion rates, average order value, cart abandonment rates, and top-selling products. Create a comprehensive e-commerce dashboard.","facebook-ads, google-ads, google-analytics, shopify",Recipes%20Database%20241d568624128093b1bde0718b9200d9/ecommerce_performance_mock_q3_2025.csv
RCP-5,Comprehensive SEO Performance,Content & SEO,"How is our SEO performing? Show me keyword rankings, organic traffic trends, and page performance. Create a monthly SEO overview dashboard","google-analytics, google-searchconsole",Recipes%20Database%20241d568624128093b1bde0718b9200d9/seo_performance_monthly_may-aug2025.csv
RCP-8,Social Media Performance Tracking,Social Media & Brand,"How are our social media channels performing? Track engagement rates, follower growth, reach, and conversions across all platforms. Create a weekly social media dashboard.","facebook, google-analytics, instagram-business, linkedin-social",Recipes%20Database%20241d568624128093b1bde0718b9200d9/social_media_mock_data.csv
RCP-9,Product Usage Analytics,Product Management,"How are users engaging with our product features? Show me feature adoption rates, user journey analysis, and identify areas where users are dropping off.","database, google-analytics, mixpanel",Recipes%20Database%20241d568624128093b1bde0718b9200d9/product_usage_events_MayJune2025.csv
RCP-10,Profitability Analysis,Finance,"What are our most profitable products, channels, and customer segments? Calculate profit margins, contribution margins, and identify optimization opportunities.","database, google-sheets, stripe",Recipes%20Database%20241d568624128093b1bde0718b9200d9/profitability_mock_data.csv
RCP-11,Cash Flow Forecasting,Finance,"What will our cash flow look like over the next 6 months? Create predictive models based on historical patterns, seasonality, and current pipeline","database, google-sheets",Recipes%20Database%20241d568624128093b1bde0718b9200d9/cash_flow_forecast_mock_data.csv
RCP-12,Client Performance Dashboard,Agency,"Create comprehensive performance dashboard showing advertising spend, impression, click, CTR, leads generated, conversion rates, and ROI.","facebook-ads, google-ads, google-analytics, linkedin-ads, tiktok-ads",Recipes%20Database%20241d568624128093b1bde0718b9200d9/client_performance_dashboard_MayJune2025.csv
RCP-13,Paid vs Organic Traffic Blend,Marketing,"Blend paid and organic sessions for the past 90 days. Show cost‑per‑session, bounce rate and conversions by source/medium.","google-ads, google-analytics, google-searchconsole",Recipes%20Database%20241d568624128093b1bde0718b9200d9/paid_vs_organic_blend_mock_data.csv
RCP-14,SEO Health Monitor,Content & SEO,"How are our top‑15 landing pages ranking and trending? Surface pages that lost positions, estimate traffic loss and suggest “quick‑win” keywords.",google-searchconsole,Recipes%20Database%20241d568624128093b1bde0718b9200d9/seo_health_monitor_top15pages_JulAug2025.csv
RCP-15,Ecommerce Funnel Performance,Retail & E-Commerce,"Visualise the customer funnel from add‑to‑cart through checkout. Highlight drop‑off points, analyze my business and suggest me action items to increase conversions through the funnel steps.","google-analytics, shopify",Recipes%20Database%20241d568624128093b1bde0718b9200d9/ecommerce_funnel_mock_data.csv
RCP-16,Customer LTV Cohort Analysis,Growth,Build 12‑month LTV curves by acquisition channel. Segment by cohorts created in Mixpanel and visualise median payback period.,"mixpanel, stripe",Recipes%20Database%20241d568624128093b1bde0718b9200d9/customer_ltv_cohorts_12m_Jul2024-Jun2025.csv
RCP-17,Inventory Stock‑Out Prediction,Supply Chain,Predict SKU‑level stock‑out dates using historical sales and current inventory. Flag items at risk within 14 days.,"database, google-sheets",Recipes%20Database%20241d568624128093b1bde0718b9200d9/inventory_stockout_prediction_mock_data.csv
RCP-18,Product Feature Adoption,Product Management,"Show daily active users of new feature X vs control features, compute 7‑day rolling adoption and surface segments with lowest uptake.","database, mixpanel",Recipes%20Database%20241d568624128093b1bde0718b9200d9/product_feature_adoption_MayAug2025_small.csv
RCP-19,Subscription Pricing Strategy,Product Management,How do different pricing tiers/packages perform? Show me conversion rates by package,"database, stripe",Recipes%20Database%20241d568624128093b1bde0718b9200d9/subscription_pricing_strategy_mock_data.csv
RCP-20,Client ROI Proof,Agency,What ROI are my paid ads delivering? Show revenue generated vs ad spend across all campaigns.,"facebook-ads, google-ads, google-analytics, google-sheets, linkedin-ads, tiktok-ads",Recipes%20Database%20241d568624128093b1bde0718b9200d9/client_roi_proof_mock_data.csv
RCP-21,Keywords in Danger,Content & SEO,List all query–URL pairs that have fallen out of the top‑10 positions in the last 30 days and lost more than 25 % of clicks. Plot the drop and flag pages to refresh first.,google-searchconsole,Recipes%20Database%20241d568624128093b1bde0718b9200d9/keywords_in_danger_mock_data.csv
RCP-22,High‑Potential “Almost There” Keywords,Content & SEO,Identify keywords ranking in positions 11–20 with >1 000 impressions and CTR below 2 %. Sort by potential additional clicks if we move into the top‑10 and suggest priority order.,google-searchconsole,Recipes%20Database%20241d568624128093b1bde0718b9200d9/high_potential_keywords_mock_data.csv
RCP-23,Rising‑Trend Blog Topic Ideas,Content & SEO,Surface queries whose impressions have grown >50 % month‑over‑month that we do not target with existing blog URLs. Cluster them into 5 topic buckets and output suggested H1 titles.,"google-analytics, google-searchconsole",Recipes%20Database%20241d568624128093b1bde0718b9200d9/rising_trend_queries_AprJul2025.csv
RCP-24,Landing Page Conversion Lift,Content & SEO,"Find landing pages with >5 000 organic sessions, bounce rate >60 % and conversion rate < site average. Show the top 10 offenders and estimate incremental leads if we match average CVR.","google-analytics, google-searchconsole",Recipes%20Database%20241d568624128093b1bde0718b9200d9/landing_page_conversion_lift_mock_data.csv
RCP-25,Keyword Cannibalisation Detective,Content & SEO,"List keywords for which two or more of our URLs compete in the top‑30 results. Display clicks, impressions and average position per URL and highlight which page should be canonical.",google-searchconsole,Recipes%20Database%20241d568624128093b1bde0718b9200d9/keyword_cannibalisation_top30_Jul2025.csv
RCP-26,Seasonal Keyword Planner,Content & SEO,Pull the top 50 keywords by clicks for November–December last year. Forecast expected impressions for this holiday season and suggest publication deadlines for supporting content.,google-searchconsole,Recipes%20Database%20241d568624128093b1bde0718b9200d9/seasonal_keyword_planner_mock_data.csv
RCP-27,Optimizing Low‑CTR Pages,Content & SEO,Flag queries where we rank top‑5 but CTR is below the Search Console benchmark. Export the corresponding title tags and suggest a rewritten version under 60 characters.,google-searchconsole,Recipes%20Database%20241d568624128093b1bde0718b9200d9/low_ctr_pages_mock_data.csv
RCP-28,Paid vs Organic Keyword Gap,Content & SEO,Compare our top 100 converting Google Ads search terms to organic rankings. Highlight any paid term with CPA < $20 where we rank worse than position 20 organically.,"google-ads, google-searchconsole",Recipes%20Database%20241d568624128093b1bde0718b9200d9/paid_vs_organic_keyword_gap_mock_data.csv
RCP-29,Competitor Content Gap,Content & SEO,"Using competitor_keywords.csv, find high‑volume terms competitors rank top‑10 for that we don’t rank in the top‑30. Provide an ordered list with estimated search volume and content angle.","google-searchconsole, google-sheets",Recipes%20Database%20241d568624128093b1bde0718b9200d9/competitor_content_gap_single.csv
RCP-30,Budget Pacing & Forecast,Marketing,Show current month spend vs budget by channel. Forecast end‑of‑month spend based on daily pacing and alert if any channel will exceed budget by >5 %.,"facebook-ads, google-ads, google-sheets, linkedin-ads, tiktok-ads",Recipes%20Database%20241d568624128093b1bde0718b9200d9/budget_pacing_forecast_mock_data.csv
RCP-31,Customer Acquisition Cost Dashboard,Marketing,Calculate blended CAC and channel‑level CAC for the last 90 days. Include CAC ÷ LTV ratios and highlight channels above the 0.8 threshold.,"database, google-ads, linkedin-ads, stripe",Recipes%20Database%20241d568624128093b1bde0718b9200d9/customer_acquisition_cost_mock_data.csv
RCP-32,Lifetime Value Cohort by Channel,Marketing,"Build 12‑month LTV curves for users acquired via Paid Search, Paid Social and Organic. Show median, 75th and 90th percentile LTV for each cohort.","google-analytics, mixpanel, stripe",Recipes%20Database%20241d568624128093b1bde0718b9200d9/ltv_cohort_by_channel_mock_data.csv
RCP-33,Paid Search Keyword Harvest,Marketing,List paid keywords converting at CPA < $25 where organic rank is worse than position 15. Suggest new landing page or optimisation plan.,"google-ads, google-searchconsole",Recipes%20Database%20241d568624128093b1bde0718b9200d9/paid_search_keyword_harvest_mock_data.csv
RCP-34,Geographic Campaign Segmentation,Marketing,"Break down spend, conversions and CPA by country and region. Flag any region where CPA is 30 % above global average and suggest bid adjustments.","facebook-ads, google-ads, google-analytics",Recipes%20Database%20241d568624128093b1bde0718b9200d9/geographic_campaign_segmentation_mock_data.csv
RCP-35,CRO Opportunity Heatmap,Marketing,"List landing pages with >2 000 sessions, CVR below site median and bounce rate >60 %. Estimate incremental revenue at benchmark CVR.","google-analytics, google-searchconsole",Recipes%20Database%20241d568624128093b1bde0718b9200d9/cro_opportunity_heatmap_mock_data.csv
RCP-40,Google Ads Keyword Drain,Marketing,Which Google Ads keywords are costing me money without getting conversions? Show me cost per conversion by keyword.,"google-ads, google-analytics",Recipes%20Database%20241d568624128093b1bde0718b9200d9/google_ads_keyword_drain_mock_data.csv
RCP-41,Facebook Ad Money Waste Check,Marketing,Show me which Facebook campaigns are actually making money. What's my cost per customer vs revenue per customer?,"facebook-ads, stripe",Recipes%20Database%20241d568624128093b1bde0718b9200d9/facebook_ad_money_waste_check_mock_data.csv
RCP-36,Cart Abandonment Investigation,Retail & E-Commerce,Why are customers abandoning their carts? Show me where people drop off in checkout.,"google-analytics, shopify",Recipes%20Database%20241d568624128093b1bde0718b9200d9/cart_abandonment_investigation_mock_data.csv
RCP-37,Inventory Stockout Prevention,Retail & E-Commerce,Which products will I run out of next month? Show me current inventory vs sales velocity,"database, google-sheets, shopify",Recipes%20Database%20241d568624128093b1bde0718b9200d9/inventory_stockout_prevention_mock_data.csv
RCP-38,Seasonal Sales Planning,Retail & E-Commerce,How much should I order for Black Friday? Show me last year's sales patterns and current trends.,"database, google-analytics, shopify",
RCP-39,Product Profitability Reality Check,Retail & E-Commerce,Which products are most profitable after advertising costs? Show me profit per product after ad spend.,"database, facebook-ads, google-ads, shopify",
RCP-42,Fast-Moving Stock Alert,Retail & E-Commerce,Which products will sell out in the next 2 weeks based on current sales velocity?,"database, shopify",
RCP-43,Product Bundle Opportunity,Retail & E-Commerce,Which products are frequently bought together? Show me product combinations that could increase order value,"database, google-analytics, shopify",
RCP-44,Discount Impact Analysis,Retail & E-Commerce,Did my recent price changes increase total profit? Show me volume increase vs margin decrease by product.,"database, google-sheets, shopify",
RCP-45,Dead Stock Identification,Retail & E-Commerce,Which products haven't sold in 90 days? Show me slow-moving inventory with quantities and cost tied up.,"database, google-sheets, shopify",
RCP-46,Campaign Performance Crash,Agency,What caused my client's campaign performance to crash yesterday? Show me all metrics vs the previous week by campaign.,"facebook-ads, google-ads, google-analytics",
RCP-47,Conversion Rate Sudden Drop,Agency,What caused my client's conversion rate to drop? Compare this week vs last month across all traffic sources.,"facebook-ads, google-ads, google-analytics",
RCP-48,Cost Per Lead Spike,Agency,Why did cost per lead increase so much? Show me lead costs by campaign and ad set over time.,"facebook-ads, google-ads, google-analytics, linkedin-ads",
RCP-49,Month-over-Month Growth Report,Agency,"How much have we grown this client's business? Show me leads, sales, and revenue growth since we started","database, facebook-ads, google-ads, google-analytics, google-sheets",
RCP-50,Competitive Performance Comparison,Agency,"How does this client rank against competitors? Show me search visibility, ad presence, and market share indicators.","google-ads, google-analytics, google-searchconsole",
RCP-51,Long-term Value Demonstration,Agency,What's the long-term value we've created? Show me customer lifetime value and retention improvements since we started.,"database, google-analytics, google-sheets, stripe",
RCP-52,Underperforming Campaign Identification,Agency,Which of this client's campaigns are underperforming? Show me campaigns below target CPA or ROAS.,"facebook-ads, google-admanager, google-ads, google-analytics",
RCP-53,Creative Performance Analysis,Agency,Which ad creatives are still performing for this client? Show me performance by creative and when to refresh.,"facebook-ads, google-ads, linkedin-ads, tiktok-ads",
RCP-54,Google Ads Keyword Optimization,Marketing,"Create a comprehensive Google Ads Dashboard with impression, clicks, conversion metrics, plot trendlines and charts. Which Google Ads keywords are costing me money without getting conversions? Show me cost per conversion by keyword. Do this for all active campaigns. For each keyword show which campaign, ad group it belongs to.",google-ads,Recipes%20Database%20241d568624128093b1bde0718b9200d9/google_ads_keyword_optimization_mock_data.csv
RCP-55,Create RFM Analysis,CRM,,,
RCP-56,Identify Top Customers,CRM,,,
RCP-57,Identify Churning Customers,CRM,,,
RCP-58,Google Ads Search Keyword Optimization Strategies,Marketing,,google-ads,